Local,Ano,Morte5
CAIUÁ,1991,"45,88"
CAIUÁ,2000,"33,19"
CAIUÁ,2010,"20,57"
CAJAMAR,1991,"32,82"
CAJAMAR,2000,"26,81"
CAJAMAR,2010,"19,66"
CAJATI,1991,"33,04"
CAJATI,2000,"28,41"
CAJATI,2010,"17,24"
CAJOBI,1991,"24,66"
CAJOBI,2000,"21,97"
CAJOBI,2010,"18,29"
CAJURU,1991,"31,93"
CAJURU,2000,"23,11"
CAJURU,2010,"17,92"
CAMPINA DO MONTE ALEGRE,1991,"37,92"
CAMPINA DO MONTE ALEGRE,2000,"28,42"
CAMPINA DO MONTE ALEGRE,2010,"15,71"
CAMPINAS,1991,"26,73"
CAMPINAS,2000,"20,77"
CAMPINAS,2010,"13,70"
CAMPO LIMPO PAULISTA,1991,"34,57"
CAMPO LIMPO PAULISTA,2000,"20,20"
CAMPO LIMPO PAULISTA,2010,"16,35"
CAMPOS DO JORDÃO,1991,"28,55"
CAMPOS DO JORDÃO,2000,"25,72"
CAMPOS DO JORDÃO,2010,"15,17"
CAMPOS NOVOS PAULISTA,1991,"32,50"
CAMPOS NOVOS PAULISTA,2000,"22,49"
CAMPOS NOVOS PAULISTA,2010,"18,09"
CANANÉIA,1991,"30,14"
CANANÉIA,2000,"19,90"
CANANÉIA,2010,"15,19"
CANAS,1991,"39,48"
CANAS,2000,"31,50"
CANAS,2010,"21,17"
CANITAR,1991,"34,78"
CANITAR,2000,"27,50"
CANITAR,2010,"21,93"
CAPELA DO ALTO,1991,"32,39"
CAPELA DO ALTO,2000,"25,75"
CAPELA DO ALTO,2010,"18,21"
CAPIVARI,1991,"24,01"
CAPIVARI,2000,"20,74"
CAPIVARI,2010,"14,38"
CAPÃO BONITO,1991,"42,32"
CAPÃO BONITO,2000,"27,51"
CAPÃO BONITO,2010,"17,86"
CARAGUATATUBA,1991,"33,64"
CARAGUATATUBA,2000,"19,60"
CARAGUATATUBA,2010,"14,61"
CARAPICUÍBA,1991,"26,60"
CARAPICUÍBA,2000,"24,72"
CARAPICUÍBA,2010,"16,10"
CARDOSO,1991,"35,45"
CARDOSO,2000,"23,01"
CARDOSO,2010,"15,03"
CASA BRANCA,1991,"29,06"
CASA BRANCA,2000,"18,11"
CASA BRANCA,2010,"15,54"
CASTILHO,1991,"33,04"
CASTILHO,2000,"25,87"
CASTILHO,2010,"17,72"
CATANDUVA,1991,"22,82"
CATANDUVA,2000,"20,85"
CATANDUVA,2010,"14,42"
CATIGUÁ,1991,"30,40"
CATIGUÁ,2000,"21,32"
CATIGUÁ,2010,"15,14"
CAÇAPAVA,1991,"30,00"
CAÇAPAVA,2000,"18,78"
CAÇAPAVA,2010,"13,45"
CEDRAL,1991,"23,29"
CEDRAL,2000,"14,57"
CEDRAL,2010,"12,29"
CERQUEIRA CÉSAR,1991,"40,48"
CERQUEIRA CÉSAR,2000,"28,53"
CERQUEIRA CÉSAR,2010,"18,44"
CERQUILHO,1991,"25,75"
CERQUILHO,2000,"19,19"
CERQUILHO,2010,"13,80"
CESÁRIO LANGE,1991,"31,77"
CESÁRIO LANGE,2000,"23,16"
CESÁRIO LANGE,2010,"20,38"
CHARQUEADA,1991,"31,53"
CHARQUEADA,2000,"22,44"
CHARQUEADA,2010,"18,55"
CHAVANTES,1991,"29,18"
CHAVANTES,2000,"23,56"
CHAVANTES,2010,"17,67"
CLEMENTINA,1991,"27,19"
CLEMENTINA,2000,"22,45"
CLEMENTINA,2010,"18,42"
COLINA,1991,"25,85"
COLINA,2000,"20,50"
COLINA,2010,"15,81"
COLÔMBIA,1991,"35,20"
COLÔMBIA,2000,"23,30"
COLÔMBIA,2010,"20,57"
CONCHAL,1991,"32,48"
CONCHAL,2000,"21,50"
CONCHAL,2010,"17,69"
CONCHAS,1991,"29,06"
CONCHAS,2000,"23,96"
CONCHAS,2010,"16,70"
CORDEIRÓPOLIS,1991,"24,39"
CORDEIRÓPOLIS,2000,"15,37"
CORDEIRÓPOLIS,2010,"13,45"
COROADOS,1991,"33,11"
COROADOS,2000,"21,69"
COROADOS,2010,"18,97"
CORONEL MACEDO,1991,"42,12"
CORONEL MACEDO,2000,"33,82"
CORONEL MACEDO,2010,"19,58"
CORUMBATAÍ,1991,"26,00"
CORUMBATAÍ,2000,"23,74"
CORUMBATAÍ,2010,"16,30"
COSMORAMA,1991,"34,77"
COSMORAMA,2000,"20,62"
COSMORAMA,2010,"15,40"
COSMÓPOLIS,1991,"27,40"
COSMÓPOLIS,2000,"19,98"
COSMÓPOLIS,2010,"10,66"
COTIA,1991,"25,27"
COTIA,2000,"21,00"
COTIA,2010,"13,84"
CRAVINHOS,1991,"26,08"
CRAVINHOS,2000,"20,41"
CRAVINHOS,2010,"14,61"
CRISTAIS PAULISTA,1991,"32,76"
CRISTAIS PAULISTA,2000,"27,70"
CRISTAIS PAULISTA,2010,"20,62"
CRUZEIRO,1991,"34,66"
CRUZEIRO,2000,"19,85"
CRUZEIRO,2010,"13,28"
CRUZÁLIA,1991,"27,36"
CRUZÁLIA,2000,"23,74"
CRUZÁLIA,2010,"15,03"
CUBATÃO,1991,"42,32"
CUBATÃO,2000,"26,49"
CUBATÃO,2010,"18,34"
CUNHA,1991,"35,76"
CUNHA,2000,"21,01"
CUNHA,2010,"17,86"
CÁSSIA DOS COQUEIROS,1991,"22,78"
CÁSSIA DOS COQUEIROS,2000,"17,55"
CÁSSIA DOS COQUEIROS,2010,"14,02"
CÂNDIDO MOTA,1991,"31,39"
CÂNDIDO MOTA,2000,"20,99"
CÂNDIDO MOTA,2010,"15,82"
CÂNDIDO RODRIGUES,1991,"28,78"
CÂNDIDO RODRIGUES,2000,"22,66"
CÂNDIDO RODRIGUES,2010,"14,03"
DESCALVADO,1991,"25,66"
DESCALVADO,2000,"18,56"
DESCALVADO,2010,"12,76"
DIADEMA,1991,"31,65"
DIADEMA,2000,"24,10"
DIADEMA,2010,"15,83"
DIRCE REIS,1991,"37,66"
DIRCE REIS,2000,"24,46"
DIRCE REIS,2010,"16,11"
DIVINOLÂNDIA,1991,"29,92"
DIVINOLÂNDIA,2000,"20,58"
DIVINOLÂNDIA,2010,"15,38"
DOBRADA,1991,"25,97"
DOBRADA,2000,"24,32"
DOBRADA,2010,"18,70"
DOIS CÓRREGOS,1991,"31,47"
DOIS CÓRREGOS,2000,"25,87"
DOIS CÓRREGOS,2010,"15,05"
DOLCINÓPOLIS,1991,"24,66"
DOLCINÓPOLIS,2000,"23,76"
DOLCINÓPOLIS,2010,"17,95"
DOURADO,1991,"34,68"
DOURADO,2000,"24,68"
DOURADO,2010,"19,54"
DRACENA,1991,"36,38"
DRACENA,2000,"16,72"
DRACENA,2010,"14,96"
DUARTINA,1991,"31,93"
DUARTINA,2000,"22,95"
DUARTINA,2010,"16,64"
DUMONT,1991,"26,25"
DUMONT,2000,"22,01"
DUMONT,2010,"15,48"
ECHAPORÃ,1991,"26,97"
ECHAPORÃ,2000,"21,48"
ECHAPORÃ,2010,"17,03"
ELDORADO,1991,"36,38"
ELDORADO,2000,"21,97"
ELDORADO,2010,"15,64"
ELIAS FAUSTO,1991,"33,49"
ELIAS FAUSTO,2000,"25,07"
ELIAS FAUSTO,2010,"18,29"
ELISIÁRIO,1991,"24,66"
ELISIÁRIO,2000,"24,07"
ELISIÁRIO,2010,"17,93"
EMBAÚBA,1991,"31,11"
EMBAÚBA,2000,"19,96"
EMBAÚBA,2010,"16,32"
EMBU,1991,"31,76"
EMBU,2000,"24,54"
EMBU,2010,"15,18"
EMBU-GUAÇU,1991,"36,16"
EMBU-GUAÇU,2000,"23,26"
EMBU-GUAÇU,2010,"17,03"
EMILIANÓPOLIS,1991,"36,64"
EMILIANÓPOLIS,2000,"25,04"
EMILIANÓPOLIS,2010,"20,27"
ENGENHEIRO COELHO,1991,"33,11"
ENGENHEIRO COELHO,2000,"21,90"
ENGENHEIRO COELHO,2010,"19,13"
ESPÍRITO SANTO DO PINHAL,1991,"21,27"
ESPÍRITO SANTO DO PINHAL,2000,"17,31"
ESPÍRITO SANTO DO PINHAL,2010,"13,22"
ESPÍRITO SANTO DO TURVO,1991,"37,66"
ESPÍRITO SANTO DO TURVO,2000,"28,22"
ESPÍRITO SANTO DO TURVO,2010,"18,65"
ESTIVA GERBI,1991,"33,11"
ESTIVA GERBI,2000,"22,45"
ESTIVA GERBI,2010,"19,13"
ESTRELA D'OESTE,1991,"28,59"
ESTRELA D'OESTE,2000,"19,88"
ESTRELA D'OESTE,2010,"13,10"
ESTRELA DO NORTE,1991,"31,65"
ESTRELA DO NORTE,2000,"25,82"
ESTRELA DO NORTE,2010,"18,70"
EUCLIDES DA CUNHA PAULISTA,1991,"38,69"
EUCLIDES DA CUNHA PAULISTA,2000,"27,03"
EUCLIDES DA CUNHA PAULISTA,2010,"20,57"
FARTURA,1991,"38,17"
FARTURA,2000,"22,10"
FARTURA,2010,"13,68"
FERNANDO PRESTES,1991,"26,97"
FERNANDO PRESTES,2000,"18,33"
FERNANDO PRESTES,2010,"13,34"
FERNANDÓPOLIS,1991,"20,44"
FERNANDÓPOLIS,2000,"16,50"
FERNANDÓPOLIS,2010,"14,37"
FERNÃO,1991,"37,66"
FERNÃO,2000,"23,76"
FERNÃO,2010,"16,08"
FERRAZ DE VASCONCELOS,1991,"36,38"
FERRAZ DE VASCONCELOS,2000,"23,17"
FERRAZ DE VASCONCELOS,2010,"17,58"
FLORA RICA,1991,"39,48"
FLORA RICA,2000,"28,95"
FLORA RICA,2010,"21,36"
FLOREAL,1991,"34,27"
FLOREAL,2000,"21,81"
FLOREAL,2010,"19,85"
FLORÍNIA,1991,"32,73"
FLORÍNIA,2000,"22,49"
FLORÍNIA,2010,"18,52"
FLÓRIDA PAULISTA,1991,"36,24"
FLÓRIDA PAULISTA,2000,"28,39"
FLÓRIDA PAULISTA,2010,"19,96"
FRANCA,1991,"23,90"
