Cod_UDH,Local,Municipio,Ano,Morte5
1351050000005,Jaqueira / Tinga / Ponte Seca / Jaraguazinho / Rio Do Ouro,Caraguatatuba (SP),2000,29.79
1351050000005,Jaqueira / Tinga / Ponte Seca / Jaraguazinho / Rio Do Ouro,Caraguatatuba (SP),2010,21.93
1351050000006,Olaria / Casa Branca,Caraguatatuba (SP),2000,29.79
1351050000006,Olaria / Casa Branca,Caraguatatuba (SP),2010,23.98
1351050000007,Parque Estadual da Serra do Mar : Núcleo Caraguatatuba / Poço das Antas : UTGCA Petrobras / Centro de Detenção Provisória,Caraguatatuba (SP),2000,29.79
1351050000007,Parque Estadual da Serra do Mar : Núcleo Caraguatatuba / Poço das Antas : UTGCA Petrobras / Centro de Detenção Provisória,Caraguatatuba (SP),2010,21.93
1351050000008,Parque Estadual da Serra do Mar : Núcleo Caraguatatuba / Canta Galo / Getuba / Capricórnio,Caraguatatuba (SP),2000,29.34
1351050000008,Parque Estadual da Serra do Mar : Núcleo Caraguatatuba / Canta Galo / Getuba / Capricórnio,Caraguatatuba (SP),2010,19.58
1351050000009,Massaguassu,Caraguatatuba (SP),2000,24.54
1351050000009,Massaguassu,Caraguatatuba (SP),2010,17.14
1351050000010,Massaguassu : Sertão dos Tourinhos,Caraguatatuba (SP),2000,
1351050000010,Massaguassu : Sertão dos Tourinhos,Caraguatatuba (SP),2010,23.98
1351050000011,Getuba / Massaguassu : Praia do Capricórnio,Caraguatatuba (SP),2000,17.5
1351050000011,Getuba / Massaguassu : Praia do Capricórnio,Caraguatatuba (SP),2010,13.03
1351050000012,Canta Galo / Jardim Terralão / Balneário Forest / Martin de Sá / Ipiranga,Caraguatatuba (SP),2000,15.08
1351050000012,Canta Galo / Jardim Terralão / Balneário Forest / Martin de Sá / Ipiranga,Caraguatatuba (SP),2010,11.48
1351050000013,Martin de Sá / Casa Branca / Olaria,Caraguatatuba (SP),2000,17.5
1351050000013,Martin de Sá / Casa Branca / Olaria,Caraguatatuba (SP),2010,13.03
1351050000014,Rio do Ouro / Ponte Seca / Caputera,Caraguatatuba (SP),2000,29.34
1351050000014,Rio do Ouro / Ponte Seca / Caputera,Caraguatatuba (SP),2010,19.58
1351050000015,Poiares / Tinga : Estação Rodoviária Aldo Navarro Magalhaes,Caraguatatuba (SP),2000,15.08
1351050000015,Poiares / Tinga : Estação Rodoviária Aldo Navarro Magalhaes,Caraguatatuba (SP),2010,11.48
1351050000016,Jardim das Gaivotas / Poiares,Caraguatatuba (SP),2000,23.05
1351050000016,Jardim das Gaivotas / Poiares,Caraguatatuba (SP),2010,17.14
1351050000017,Golfinho / Portal Santa Marina / Praia Das Palmeiras : Shopping Serramar / Fazenda Serramar,Caraguatatuba (SP),2000,17.5
1351050000017,Golfinho / Portal Santa Marina / Praia Das Palmeiras : Shopping Serramar / Fazenda Serramar,Caraguatatuba (SP),2010,13.03
1351050000018,Golfinho,Caraguatatuba (SP),2000,
1351050000018,Golfinho,Caraguatatuba (SP),2010,23.98
1351050000019,Barranco Alto,Caraguatatuba (SP),2000,29.79
1351050000019,Barranco Alto,Caraguatatuba (SP),2010,21.93
1351050000020,Travessão / Pegorelli,Caraguatatuba (SP),2000,29.34
1351050000020,Travessão / Pegorelli,Caraguatatuba (SP),2010,19.58
1351050000021,Porto Novo / Barranco Alto / Morro do Algodão,Caraguatatuba (SP),2000,17.5
1351050000021,Porto Novo / Barranco Alto / Morro do Algodão,Caraguatatuba (SP),2010,13.03
1351050000022,Indaiá : Unidade de Pronto Atendimento Materno Infantil / Centro de Especialidades Médicas / 1ª Delegacia de Polícia,Caraguatatuba (SP),2000,14.02
1351050000022,Indaiá : Unidade de Pronto Atendimento Materno Infantil / Centro de Especialidades Médicas / 1ª Delegacia de Polícia,Caraguatatuba (SP),2010,9.04
1351050000023,Centro / Sumaré / Ipiranga,Caraguatatuba (SP),2000,14.25
1351050000023,Centro / Sumaré / Ipiranga,Caraguatatuba (SP),2010,9.31
1351050000024,Estrela D'Alva / Benfica / Jardim California,Caraguatatuba (SP),2000,15.08
1351050000024,Estrela D'Alva / Benfica / Jardim California,Caraguatatuba (SP),2010,11.48
1351050000025,Jardim Aruan,Caraguatatuba (SP),2000,14.25
1351050000025,Jardim Aruan,Caraguatatuba (SP),2010,9.31
1351050000026,Pereque Mirim / Pegorelli / Travessão / Porto Novo,Caraguatatuba (SP),2000,29.79
1351050000026,Pereque Mirim / Pegorelli / Travessão / Porto Novo,Caraguatatuba (SP),2010,21.93
1351340500001,Centro,Cruzeiro (SP),2000,14.25
1351340500001,Centro,Cruzeiro (SP),2010,9.31
1351340500002,Vila Doutor João Batista : Parte Baixa,Cruzeiro (SP),2000,27.33
1351340500002,Vila Doutor João Batista : Parte Baixa,Cruzeiro (SP),2010,21.12
1351340500003,Vila Juvenal,Cruzeiro (SP),2000,27.33
1351340500003,Vila Juvenal,Cruzeiro (SP),2010,23.04
1351340500004,Morro dos Ingleses,Cruzeiro (SP),2000,30.04
1351340500004,Morro dos Ingleses,Cruzeiro (SP),2010,26.57
1351340500005,Área Rural,Cruzeiro (SP),2000,27.33
1351340500005,Área Rural,Cruzeiro (SP),2010,19.97
1351340500006,Vila Novaes,Cruzeiro (SP),2000,19.15
1351340500006,Vila Novaes,Cruzeiro (SP),2010,11.93
1351340500007,Vila Loyelo / Lagoa Dourada,Cruzeiro (SP),2000,23.01
1351340500007,Vila Loyelo / Lagoa Dourada,Cruzeiro (SP),2010,18.45
1351340500008,Vila Celestina Novaes / Vila Paulo Romeu,Cruzeiro (SP),2000,17.32
1351340500008,Vila Celestina Novaes / Vila Paulo Romeu,Cruzeiro (SP),2010,11.93
1351340500009,Itagaçaba,Cruzeiro (SP),2000,23.01
1351340500009,Itagaçaba,Cruzeiro (SP),2010,19.97
1351340500010,Washington Beleza / Vila São Judas Tadeu / Vila Paulista,Cruzeiro (SP),2000,17.32
1351340500010,Washington Beleza / Vila São Judas Tadeu / Vila Paulista,Cruzeiro (SP),2010,11.93
1351340500011,Vila Pontilhão,Cruzeiro (SP),2000,23.01
1351340500011,Vila Pontilhão,Cruzeiro (SP),2010,19.97
1351340500012,Vila Brasil / Jardim Europa / Jardim América,Cruzeiro (SP),2000,29.13
1351340500012,Vila Brasil / Jardim Europa / Jardim América,Cruzeiro (SP),2010,18.45
1351340500013,Vila Doutor  João Batista / Vila Romana,Cruzeiro (SP),2000,27.33
1351340500013,Vila Doutor  João Batista / Vila Romana,Cruzeiro (SP),2010,23.04
1351340500014,Vila Primavera,Cruzeiro (SP),2000,17.32
1351340500014,Vila Primavera,Cruzeiro (SP),2010,11.93
1351340500015,Jardim Paraíso,Cruzeiro (SP),2000,19.15
1351340500015,Jardim Paraíso,Cruzeiro (SP),2010,11.93
1351340500016,Vila Canevari,Cruzeiro (SP),2000,17.32
1351340500016,Vila Canevari,Cruzeiro (SP),2010,11.93
1351340500017,Zona de Expansão Próxima,Cruzeiro (SP),2000,17.32
1351340500017,Zona de Expansão Próxima,Cruzeiro (SP),2010,11.93
1351340500018,Retiro da Mantiqueira / Vila Novaes,Cruzeiro (SP),2000,14.25
1351340500018,Retiro da Mantiqueira / Vila Novaes,Cruzeiro (SP),2010,10.26
1351340500019,Vila Regina Célia,Cruzeiro (SP),2000,19.15
1351340500019,Vila Regina Célia,Cruzeiro (SP),2010,11.93
1351340500020,Vila Lucrécia Pinto,Cruzeiro (SP),2000,23.01
1351340500020,Vila Lucrécia Pinto,Cruzeiro (SP),2010,19.97
1351340500021,Jardim São José,Cruzeiro (SP),2000,17.32
1351340500021,Jardim São José,Cruzeiro (SP),2010,11.93
1351360300001,Campos de Cunha / Cunha,Cunha (SP),2000,28.29
1351360300001,Campos de Cunha / Cunha,Cunha (SP),2010,19.78
1351840400001,Bela Vista / Vila Conselheiro Rodrigues Alves / Aeroporto / Jardim Rony,Guaratinguetá (SP),2000,14.59
1351840400001,Bela Vista / Vila Conselheiro Rodrigues Alves / Aeroporto / Jardim Rony,Guaratinguetá (SP),2010,10.38
1351840400002,São Manoel / São Dimas,Guaratinguetá (SP),2000,26.78
1351840400002,São Manoel / São Dimas,Guaratinguetá (SP),2010,19.06
1351840400003,Cohab / Parque do Sol / Beira Rio,Guaratinguetá (SP),2000,18.42
1351840400003,Cohab / Parque do Sol / Beira Rio,Guaratinguetá (SP),2010,11.45
1351840400004,Rio São Gonçalo,Guaratinguetá (SP),2000,30.16
1351840400004,Rio São Gonçalo,Guaratinguetá (SP),2010,19.06
1351840400005,APA Serra da Mantiqueira / Rio Piaguí,Guaratinguetá (SP),2000,29.79
1351840400005,APA Serra da Mantiqueira / Rio Piaguí,Guaratinguetá (SP),2010,25.5
1351840400006,Portal das Colinas / Vila Paraíba,Guaratinguetá (SP),2000,12.3
1351840400006,Portal das Colinas / Vila Paraíba,Guaratinguetá (SP),2010,7.21
1351840400007,Centro Histórico / São Benedito,Guaratinguetá (SP),2000,14.59
1351840400007,Centro Histórico / São Benedito,Guaratinguetá (SP),2010,10.38
1351840400008,Tamandaré / Pedreira,Guaratinguetá (SP),2000,29.79
1351840400008,Tamandaré / Pedreira,Guaratinguetá (SP),2010,25.5
1351840400009,Clube dos 500,Guaratinguetá (SP),2000,14.59
1351840400009,Clube dos 500,Guaratinguetá (SP),2010,10.38
1351840400010,Serra Pelada,Guaratinguetá (SP),2000,18.42
1351840400010,Serra Pelada,Guaratinguetá (SP),2010,11.45
1351840400011,Nova Guará : Campo De Futebol,Guaratinguetá (SP),2000,29.79
1351840400011,Nova Guará : Campo De Futebol,Guaratinguetá (SP),2010,25.5
1351840400012,Vila Brasil / Engenheiro Neiva / Jardim do Vale,Guaratinguetá (SP),2000,26.78
1351840400012,Vila Brasil / Engenheiro Neiva / Jardim do Vale,Guaratinguetá (SP),2010,19.86
1351840400013,Parque do Sol / Alto Jardim do Vale,Guaratinguetá (SP),2000,29.79
1351840400013,Parque do Sol / Alto Jardim do Vale,Guaratinguetá (SP),2010,25.5
1351840400014,Pingo de Ouro,Guaratinguetá (SP),2000,30.16
1351840400014,Pingo de Ouro,Guaratinguetá (SP),2010,19.06
1351840400015,Santa Luzia,Guaratinguetá (SP),2000,29.79
1351840400015,Santa Luzia,Guaratinguetá (SP),2010,25.5
1351840400016,Santa Edwiges / Piagui / São Dimas,Guaratinguetá (SP),2000,14.59
1351840400016,Santa Edwiges / Piagui / São Dimas,Guaratinguetá (SP),2010,10.38
1351840400017,Vila Mollica,Guaratinguetá (SP),2000,18.42
1351840400017,Vila Mollica,Guaratinguetá (SP),2010,11.45
1351840400018,Santa Rita / Nova Guará / São Benedito,Guaratinguetá (SP),2000,21.33
1351840400018,Santa Rita / Nova Guará / São Benedito,Guaratinguetá (SP),2010,15.09
1351840400019,Rio Comprido / Piedade / São Bento / Pinheiral,Guaratinguetá (SP),2000,30.16
1351840400019,Rio Comprido / Piedade / São Bento / Pinheiral,Guaratinguetá (SP),2010,19.06
1351840400020,Campo do Galvão / Figueira,Guaratinguetá (SP),2000,18.42
1351840400020,Campo do Galvão / Figueira,Guaratinguetá (SP),2010,11.45
1351840400021,Santa Clara / Retiro / São Francisco,Guaratinguetá (SP),2000,21.33
1351840400021,Santa Clara / Retiro / São Francisco,Guaratinguetá (SP),2010,15.09
